,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
94,South West,E07000083,Tewkesbury,12132.0,12655.0,13061.0,13766.0,14223.0,14275.0,14280.0,15014.0,16032.0,16815.0,17507.0,18025.0,17974.0,18265.0,18533.0,19078.0,19784.0,20607.0,21482.0,21426.0,21287.0,21728.0,21669.0
95,South West,E06000030,Swindon,11169.0,11558.0,12172.0,12899.0,13442.0,13829.0,13990.0,14197.0,14625.0,15125.0,15457.0,15727.0,16055.0,15956.0,16218.0,16603.0,17037.0,17651.0,18346.0,18770.0,19081.0,19974.0,20516.0
96,South West,E06000054,Wiltshire,11838.0,11892.0,12380.0,13324.0,13750.0,14024.0,14402.0,14824.0,15425.0,16080.0,16672.0,17050.0,17025.0,17399.0,17858.0,18262.0,19090.0,19730.0,20646.0,20796.0,21331.0,22609.0,23179.0
97,South West,E07000187,Mendip,11510.0,11925.0,12164.0,12548.0,13106.0,13278.0,13755.0,14353.0,14935.0,15748.0,16372.0,16928.0,16825.0,17449.0,17825.0,18093.0,18561.0,19319.0,20149.0,20298.0,20729.0,21652.0,22146.0
98,South West,E07000188,Sedgemoor,10614.0,10832.0,11313.0,11650.0,12163.0,12337.0,12682.0,13309.0,13763.0,14491.0,14919.0,15468.0,15611.0,16138.0,16466.0,16777.0,17051.0,17496.0,18158.0,18270.0,18761.0,19632.0,20340.0
99,South West,E07000189,South Somerset,11041.0,11340.0,11731.0,12250.0,12787.0,12822.0,13362.0,13928.0,14368.0,15191.0,15741.0,16340.0,16191.0,16782.0,17116.0,17360.0,17695.0,18442.0,19175.0,19212.0,19651.0,20682.0,20810.0
100,South West,E07000246,Somerset West and Taunton,10718.0,11040.0,11361.0,11746.0,12181.0,12350.0,12765.0,13298.0,13875.0,14572.0,15120.0,15652.0,15746.0,16364.0,16657.0,17019.0,17407.0,18077.0,18747.0,18699.0,19084.0,19801.0,20250.0
101,South West,E06000058,"Bournemouth, Christchurch and Poole",11576.0,11802.0,12364.0,13122.0,13512.0,13664.0,14008.0,14514.0,15114.0,15848.0,16542.0,16808.0,16381.0,16873.0,17179.0,17514.0,18191.0,18573.0,19678.0,19715.0,20033.0,21045.0,21652.0
102,South West,E06000059,Dorset,11694.0,12105.0,12480.0,13090.0,13457.0,13759.0,14258.0,14586.0,15151.0,16142.0,16686.0,17208.0,17057.0,17710.0,18309.0,18787.0,19360.0,19985.0,20769.0,20895.0,21166.0,22175.0,22613.0
103,South West,E06000052,Cornwall,9883.0,10066.0,10220.0,10783.0,11362.0,11847.0,12013.0,12438.0,12899.0,13499.0,14064.0,14467.0,14674.0,15178.0,15545.0,15927.0,16179.0,16550.0,17114.0,17522.0,18030.0,18529.0,18846.0
104,South West,E06000053,Isles of Scilly,13842.0,14308.0,13833.0,14664.0,14385.0,14661.0,15599.0,14967.0,14982.0,17163.0,15752.0,15711.0,18165.0,17978.0,19224.0,19616.0,18984.0,18448.0,19394.0,20267.0,21818.0,24068.0,24825.0
105,South West,E06000026,Plymouth,9241.0,9466.0,9760.0,10359.0,10589.0,10771.0,11118.0,11497.0,11731.0,12167.0,12692.0,13107.0,13370.0,14001.0,14230.0,14391.0,14761.0,15147.0,15614.0,15702.0,16261.0,16923.0,17343.0
